dist,litrate,sexratio,area,popdensity,workpoprate
Alirajpur,36.1,1011,3182,229,50.32
Bijapur,40.86,984,8530,30,52.71
Dakshin Bastar Dantewada,42.12,1020,8298,64,53.71
Jhabua,43.3,990,3600,285,50.25
Nabarangapur ,46.43,1019,5291,231,50.04
Shrawasti,46.74,881,1640,681,36.13
Malkangiri  ,48.54,1020,5791,106,50.66
Narayanpur,48.62,994,4653,30,50.84
Kurung Kumey,48.75,1032,6040,15,41.32
Pakur,48.82,989,1811,497,44.93
Barwani ,49.08,982,5427,255,47.18
Koraput,49.21,1032,8807,157,50.26
Bahraich,49.36,892,5237,666,33.03
Balrampur,49.51,928,3349,642,35.38
Rayagada  ,49.76,1051,7073,137,48.26
Purnia,51.08,921,3229,1011,35.02
Budaun,51.29,871,5168,712,30.08
Yadgir,51.83,989,5270,223,46.64
Sahibganj,52.04,952,2063,558,42.61
Sitamarhi,52.05,899,2294,1492,32.56
Tirap,52.19,944,2362,47,44.8
Katihar,52.24,919,3057,1005,33
Madhepura,52.25,911,1788,1120,38.84
Saharsa,53.2,906,1687,1127,34.19
Rampur,53.34,909,2367,987,31.56
Gajapati,53.49,1043,4325,134,50.87
Araria,53.53,921,2830,993,38.05
Sheohar,53.78,893,349,1880,32.97
Mewat ,54.08,907,1507,723,26.62
Ramban,54.27,902,1329,213,30.74
Bastar,54.4,1023,10470,135,51.41
Jalor,54.86,952,10640,172,49.03
Mahbubnagar,55.04,977,18432,220,51.38
Sirohi,55.25,940,5136,202,40.51
Kishanganj,55.46,950,1884,897,31.3
Pashchim Champaran,55.7,909,5228,753,37.58
Purba Champaran,55.79,902,3968,1285,34.07
Pratapgarh,55.97,983,4449,195,55.46
Badgam,56.08,894,1361,554,28.51
Kishtwar,56.2,920,1644,140,35.97
Bandipore,56.28,889,345,1137,38.07
Banswara,56.33,980,4522,397,50.99
Godda,56.4,938,2266,580,42.04
Anjaw,56.46,839,6190,3,49.61
Barmer,56.53,902,28387,92,46.18
Darbhanga,56.56,911,2279,1728,31.08
Moradabad,56.77,906,3718,1283,29.71
Mon,56.99,899,1786,140,59
Jaisalmer,57.22,852,38401,17,43.13
Nuapada,57.35,1021,3852,158,50.04
Sheopur ,57.43,901,6606,104,40.34
Supaul,57.67,929,2425,919,39.37
Khagaria,57.92,886,1486,1122,33.64
Ganderbal,58.04,874,259,1148,33.92
Reasi,58.15,890,1719,183,46.01
Banka,58.17,907,3020,674,37.9
Dhubri,58.34,953,2176,896,34.36
Bareilly,58.49,887,4120,1080,31.52
Madhubani,58.62,926,3501,1282,36.48
Pashchimi Singhbhum,58.63,1005,7224,208,46.25
Gonda,58.71,921,4003,858,34.09
Dohad  ,58.82,990,3642,584,46.97
Vizianagaram,58.89,1019,6539,359,49.39
Dhar,59,964,8153,268,47.03
Tawang,59,714,2172,23,57.15
Uttar Dinajpur,59.07,939,3140,958,35.77
Kalahandi,59.22,1003,7920,199,47.69
Kulgam,59.23,951,410,1035,37.69
Siddharth nagar,59.25,976,2895,884,34.34
Dungarpur,59.46,994,3770,368,46.2
Latehar,59.51,967,4291,169,43.11
Shahjahanpur,59.54,872,4388,685,29.68
Raichur,59.56,1000,8442,228,46.84
Nawada,59.76,939,2494,890,36.82
Jamui,59.79,922,3098,568,41.33
Changlang,59.8,926,4662,32,42.48
Kurnool,59.97,988,17658,230,50.07
Upper Siang,59.99,889,6590,5,49.95
Surguja,60.01,978,15732,150,48.98
East Kameng,60.02,1029,4134,19,40.3
Chatra,60.18,953,3718,280,38.13
Garhwa ,60.33,935,4093,323,43.2
Singrauli,60.41,920,5675,208,42.39
Kheri,60.56,894,7680,524,31.45
Shupiyan,60.76,951,312,853,32.95
Kabeerdham,60.85,996,4235,194,49.14
Adilabad,61.01,1001,16105,170,48.29
Dumka,61.02,977,3761,351,47.28
Kansiram Nagar,61.02,880,1955,735,32.91
Sitapur,61.12,888,5743,781,31.73
Rajgarh,61.21,956,6153,251,48.23
Nizamabad,61.25,1040,7956,321,49.43
Kaushambi,61.28,908,1779,899,39.95
Bhilwara,61.37,973,10455,230,47.67
Medak,61.42,992,9699,313,47.55
Chamrajnagar,61.43,993,5648,181,47.19
Tikamgarh,61.43,901,5048,286,45.35
Pilibhit,61.47,895,3686,551,30.46
Jhalawar,61.5,946,6219,227,48.61
Bundi,61.52,925,5776,192,47.36
Tonk,61.58,952,7194,198,45.67
Jaintia Hills,61.64,1013,3819,103,39.02
Chittaurgarh,61.71,972,7822,197,51.98
Maldah ,61.73,944,3733,1069,38.55
Srikakulam,61.74,1015,5837,463,47.73
Bara Banki,61.75,910,4402,741,36.58
Udaipur,61.82,958,11724,262,44.51
Mansa,61.83,883,2198,350,42.68
Samastipur,61.86,911,2904,1467,31.52
Pali,62.39,987,12387,164,41.34
Lakhisarai,62.42,902,1228,815,32.63
Shivpuri,62.55,877,10066,171,43.99
Anantnag,62.69,927,3574,302,36.13
